OBJECTID,NAME,GeoNew,SqMi,Zip_Code,Median_Inc,Median_I_1,Percent_Re,RSO,Occupied_H,RSO_per_Oc,Per_who_Pa,Population,High_Chang,Current_Ra,Future_Rai,Housing_Pr,Affordable,Eligible,F7indicato,F2000_est,Difference,Percent_Di,Exclusion_,SHAPE_Length,SHAPE_Area
68,2244.10,A06037224410,0.175004840869,90007,29412,6035,78.112215,831,1002,0.829341,40.026247,3543,0.899726,0.837791,0,0.80096,0.350729,Eligible,0.542066913526,3428,115,3.354725788, ,0.0318271277795589,4.42491787260585e-05
69,2673,A06037267300,0.166139223376,90025,53529,8955,92.741935,1314,2162,0.607771,27.78626,4939,0,0,0,0,0,Eligible,0.189485789177,3428,1511,44.0781797, ,0.0263664911932996,4.20126127924925e-05
70,2188,A06037218800,0.158936806211,90018,42528,3055,78.215121,735,852,0.862676,22.119816,2598,0,0,0,0,0,Eligible,0.151633188002,2821,-223,-7.904998228, ,0.0281331839967341,4.01877474750306e-05
71,2094.01,A06037209401,0.0832674085925,90057,21827,4746,98.230088,713,1359,0.52465,26.527571,3866,0.830968,0.91025,0,0,0,Eligible,0.394722482512,3967,-101,-2.546004537, ,0.0192708856256799,2.1059238953412e-05
72,2195,A06037219500,0.215287688667,90016,60813,12127,26.217679,218,691,0.315485,18.556701,1663,0,0.999424,0.9,0,0,Eligible,0.270790282028,1703,-40,-2.348796242, ,0.0322861536143696,5.4425201788885e-05
73,2198,A06037219800,0.172253056281,90016,33393,4417,73.505121,573,959,0.597497,37.959184,3033,0,0.975758,0,0,0,Eligible,0.267323839047,3352,-319,-9.522653143, ,0.0290192509313854,4.35505989330924e-05
74,2200,A06037220000,0.375211514084,90016,30647,10515,68.108636,1084,2091,0.518412,37.556561,6160,0,0.995335,0.883964,0,0,Eligible,0.38763976517,5165,995,19.2642788, ,0.0385642439096407,9.48621798836372e-05
75,2201,A06037220100,0.378393752439,90016,32969,24998,61.535088,419,1025,0.40878,25.119237,2280,0,1,0,0.630509,0,Eligible,0.308396490445,2388,-108,-4.522613065, ,0.0543162150428056,9.56621530479403e-05
76,2211.20,A06037221120,0.122587960695,90006,34031,5773,84.691358,710,825,0.860606,33.378747,3241,0.855659,0,0,0,0,Eligible,0.321461083893,3375,-134,-3.97037037, ,0.0231577968507298,3.09983834664522e-05
77,2212.10,A06037221210,0.138525713956,90006,33750,5340,81.955645,642,869,0.73878,27.591036,2998,0,0,0,0.654088,0.209643,Eligible,0.289730251787,3274,-276,-8.424757071, ,0.0249035646010898,3.50291698880186e-05
78,2212.20,A06037221220,0.254598061528,90006,32934,4596,89.420935,658,1031,0.638215,22.365591,3611,0.753684,0,0,0,0.337996,Eligible,0.318812030686,3548,63,1.770215223, ,0.0318656239426363,6.43804647305705e-05
79,2323,A06037232300,0.242769921173,90037,35372,5654,45.680375,425,1013,0.419546,36.117382,3654,0,0,0,0,0,Eligible,0.118954164589,3791,-137,-3.61382221, ,0.0360902375148058,6.1355556214972e-05
80,2324,A06037232400,0.429719224297,90062,30303,7402,42.054006,966,1878,0.514377,51.68756,6946,0,0,0,0,0,Eligible,0.176024575029,6366,580,9.110901665, ,0.0424191640074887,0.00010860588511636
81,2325,A06037232500,0.296412758302,90062,26207,8371,70.401648,914,1424,0.641854,43.818002,4890,0,0,0,0,0.24583,Eligible,0.204251216472,4249,641,15.08590257, ,0.0370909189035047,7.49078651516718e-05
82,2326,A06037232600,0.307064729823,90037,29281,4590,55.382853,1043,1770,0.589266,51.865672,6117,0,0,0,0,0,Eligible,0.195294422334,5460,657,12.03296703, ,0.0381338648800119,7.75997006807188e-05
83,2327,A06037232700,0.282324303957,90037,30027,7007,67.676103,987,1495,0.660201,37.598425,6113,0,0,0,0,0,Eligible,0.174117150892,5378,735,13.66679063, ,0.035313807063822,7.13476217904513e-05
84,2328,A06037232800,0.164731879469,90037,29970,7421,62.036579,504,899,0.560623,48.885077,4046,0,0,0,0,0,Eligible,0.189483126494,3500,546,15.6, ,0.0261153583668353,4.16302774169859e-05
85,2340,A06037234000,0.479497446757,90008,51190,5652,38.013639,599,1974,0.303445,31.330472,5754,0,0.764449,0.701141,0,0,Eligible,0.278498861141,5053,701,13.87294676, ,0.0518224885082785,0.000121205166597545
86,2342,A06037234200,0.340895682496,90008,44739,10419,37.299959,230,1105,0.208145,27.850877,2447,0,1,0.9,0,0,Eligible,0.308723335361,2361,86,3.642524354, ,0.0385259122492927,8.61745132355904e-05
87,2406,A06037240600,0.26096140324,90003,33429,4441,68.105239,577,1164,0.495704,40.150565,4333,0,0,0,0,0.300266,Eligible,0.196208611513,4135,198,4.788391778, ,0.033219293952243,6.59130400356304e-05
88,2393.10,A06037239310,0.206514210635,90003,32301,4489,69.063504,606,971,0.624099,38.30703,4052,0,0,0,0,0,Eligible,0.179924842038,3900,152,3.897435897, ,0.0288332732954521,5.21806807181109e-05
89,2655.10,A06037265510,0.148057081571,90024,53993,13446,84.037805,1076,2238,0.480786,41.12395,3812,0,0,0.6,0,0,Eligible,0.302686371876,3896,-84,-2.156057495, ,0.0252139983191912,3.74451236499912e-05
90,1924.20,A06037192420,0.125444071034,90004,47120,9073,85.415654,884,1336,0.661677,35.640138,4140,0.864469,0,0,0,0,Eligible,0.328934076091,4151,-11,-0.264996386, ,0.0232726140101227,3.17349923363721e-05
91,2213.02,A06037221302,0.178434864203,90019,32271,7405,94.24307,900,1289,0.698216,32.475083,5252,0,0,0,0,0.330994,Eligible,0.226320086095,4472,780,17.44186047, ,0.0321464414916369,4.51200099204899e-05
92,2315,A06037231500,0.354910800232,90062,45027,6165,34.369449,314,1410,0.222695,39.673913,4510,0,0,0,0,0.291559,Eligible,0.144900689913,4218,292,6.922712186, ,0.0393641309737397,8.97075521058713e-05
93,1061.14,A06037106114,0.391386781572,91340,42500,5444,58.396476,426,1522,0.279895,40.310077,5729,0,0,0,0,0,Eligible,0.168053683881,5137,592,11.51806424, ,0.0520821507649851,9.92780719214022e-05
94,1041.05,A06037104105,0.225724600252,91331,41029,8966,46.616541,490,1450,0.337931,38.048091,5871,0,0,0,0,0,Eligible,0.140981923385,5233,638,12.19872876, ,0.0356401544839522,5.7238556224949e-05
95,1065.20,A06037106520,0.85161351257,91342,59350,7446,26.491943,55,1317,0.041762,44.692737,5672,0,0,0,0,0,Eligible,0.122009372768,5717,-45,-0.787126115, ,0.0602551658894946,0.000216033882054249
96,1066.04,A06037106604,1.01164940717,91342,49844,8204,53.950954,160,1148,0.139373,33.0721,4785,0,0,0,0,0,Eligible,0.130784785667,4668,117,2.511628371, ,0.0805211194492555,0.000256617616763016
